Wall time,Step,Value
1683117688.7273967,126,-1000.137939453125
1683117694.2866437,129,-1000.30810546875
1683117696.0606954,130,-1000.2040405273438
1683117713.092007,137,-1000.0095825195312
1683117717.448805,139,-1000.2505493164062
1683117721.8361416,141,-1000.2415161132812
1683117724.194229,142,-1000.35302734375
1683117726.3564115,143,-1000.4334716796875
1683117728.5360398,144,-1000.4572143554688
1683117741.7082496,150,-1000.285888671875
1683117753.669458,155,-1000.302978515625
1683117758.0438344,157,-1000.2897338867188
1683117760.3451583,158,-1000.207275390625
1683117762.4863355,159,-1000.3575439453125
1683117769.0572054,162,-1000.3836669921875
1683117775.366191,165,-1000.1700439453125
1683117779.728159,167,-1000.1038818359375
1683117781.9354293,168,-1000.227783203125
1683117788.2719553,171,-1000.1582641601562
1683117799.153085,176,-1000.44775390625
1683117801.2220328,177,-1000.1179809570312
1683117803.3799038,178,-1000.2149658203125
1683117807.6934776,180,-1000.1167602539062
1683117814.406109,183,-1000.2353515625
1683117818.6336906,185,-1000.3796997070312
1683117820.703386,186,-1000.3150024414062
1683117825.0405679,188,-1000.4548950195312
1683117829.6202826,190,-1000.41357421875
1683117831.8689277,191,-1000.0892333984375
1683117847.5608196,198,-1000.1790161132812
1683117865.0213387,206,-1000.1268310546875
1683117867.4029598,207,-1000.3494262695312
1683117869.7028108,208,-1000.3406372070312
1683117878.834513,212,-1000.397705078125
1683117885.4279232,215,-1000.291015625
1683117892.082491,218,-1000.445068359375
1683117900.6674025,222,-1000.2510375976562
1683117903.077041,223,-1000.413818359375
1683117907.541341,225,-1000.2188720703125
1683117912.0084362,227,-1000.3853759765625
1683117916.4631548,229,-1000.1400756835938
1683117923.2717874,232,-1000.233154296875
1683117925.4750621,233,-1000.3439331054688
1683117927.71664,234,-1000.1240234375
1683117934.5241697,237,-1000.4445190429688
1683117956.1455426,247,-1000.1029663085938
1683117960.4878628,249,-1000.2217407226562
1683117973.6073165,255,-1000.424560546875
1683117980.051339,258,-1000.0037231445312
1683117982.2131968,259,-1000.058837890625
1683117984.4300451,260,-1000.1616821289062
1683117986.6099904,261,-1000.2395629882812
1683117990.8124802,263,-1000.21337890625
1683117999.7437518,267,-1000.0242919921875
1683118004.0977435,269,-1000.3790283203125
1683118008.3776116,271,-1000.3649291992188
1683118012.3579788,273,-1000.0238647460938
1683118021.9260516,278,-1000.1261596679688
1683118025.946271,280,-1000.30908203125
1683118033.8337545,284,-1000.291748046875
1683118047.5851884,291,-1000.124755859375
1683118049.5549874,292,-1000.4566650390625
1683118059.261216,297,-1000.3096923828125
1683118061.2679453,298,-1000.0271606445312
1683118063.186746,299,-1000.1880493164062
1683118067.1119277,301,-1000.0916748046875
1683118068.9822152,302,-1000.1682739257812
1683118070.9009342,303,-1000.23486328125
1683118078.6585174,307,-1000.0629272460938
1683118080.58778,308,-1000.45849609375
1683118084.551986,310,-1000.4425048828125
1683118090.4333265,313,-1000.189453125
1683118098.3663306,317,-1000.3766479492188
1683118100.2971573,318,-1000.2384643554688
1683118102.2750437,319,-1000.1131591796875
1683118104.2353268,320,-1000.1094970703125
1683118108.221941,322,-1000.052734375
1683118114.3087118,325,-1000.1033325195312
1683118116.1958098,326,-1000.4586791992188
1683118118.1279085,327,-1000.1273193359375
1683118123.9046395,330,-1000.265380859375
1683118125.8110116,331,-1000.2108154296875
1683118129.7661545,333,-1000.2550659179688
1683118141.2207196,339,-1000.1512451171875
1683118145.3273852,341,-1000.4327392578125
1683118151.101033,344,-1000.16259765625
1683118153.0076294,345,-1000.2901000976562
1683118156.8604033,347,-1000.2604370117188
1683118158.7142682,348,-1000.3834228515625
