Wall time,Step,Value
1683117464.4065251,18,45.360355377197266
1683117473.6325681,42,44.445945739746094
1683117475.4110842,45,44.104530334472656
1683117479.066425,56,43.41518020629883
1683117484.7770467,71,41.55323028564453
1683117484.8189363,74,41.28886795043945
1683117492.1352203,94,40.7602653503418
1683117515.980883,155,28.034683227539062
1683117516.044223,158,27.049684524536133
1683117519.6215599,167,26.462261199951172
1683117525.1052992,183,14.887673377990723
1683117541.713093,229,0.32634150981903076
1683117543.574908,234,2.408691644668579
1683117552.5708396,255,2.2643065452575684
1683117554.37078,260,0.3306666314601898
1683117556.267199,267,-1.280935287475586
1683117558.0516005,273,0.17734073102474213
1683117570.81275,308,-0.581461489200592
1683117572.7382095,310,0.3268919885158539
1683117574.513458,318,0.3187205195426941
1683117581.8113053,339,0.1318684071302414
1683117585.3408043,347,1.0121769905090332
1683117592.5591063,367,0.030058780685067177
1683117612.7363892,421,-0.5437079668045044
1683117612.749355,422,-0.8027405142784119
1683117619.9944377,442,0.7499403953552246
1683117621.8173666,445,-0.06931965798139572
1683117627.1915185,460,-0.5775776505470276
1683117627.232405,463,-1.0752172470092773
1683117627.2483637,464,-1.1129138469696045
1683117630.9847312,474,0.5971028804779053
1683117638.3434932,493,-0.3831879496574402
1683117645.485322,514,0.01978803053498268
1683117654.394432,536,0.43806692957878113
1683117663.629244,563,1.0333548784255981
1683117669.0252845,579,1.273922085762024
1683117672.53611,586,-0.21093139052391052
1683117672.550076,587,-0.3234967291355133
1683117685.0582383,620,-0.6487817764282227
1683117688.7224104,634,-0.10432549566030502
1683117692.4725935,641,1.3977510929107666
1683117692.4905431,642,1.3899399042129517
1683117692.522458,644,1.274066686630249
1683117694.2567239,647,-0.649800717830658
1683117694.2816577,649,-0.4816415011882782
1683117699.543802,661,0.7719681859016418
1683117706.1042643,671,-0.4961079955101013
1683117724.1902413,714,0.0567585788667202
1683117728.4861727,722,-0.4184533953666687
1683117732.7554944,730,-0.31109485030174255
1683117741.6643696,752,-0.9202491641044617
1683117743.9055157,756,0.9371655583381653
1683117748.0267591,765,0.18625783920288086
1683117748.1025565,769,-0.309032678604126
1683117751.336264,771,-0.4000837504863739
1683117757.9610562,785,1.1738051176071167
1683117757.9969609,787,1.2857317924499512
1683117760.2998097,792,-0.26546600461006165
1683117760.3401716,794,-0.19665484130382538
1683117762.460406,798,0.9484341740608215
1683117764.6248853,802,0.01932024024426937
1683117766.8404686,808,-0.32679176330566406
1683117766.861919,809,-0.32281437516212463
1683117777.512741,832,-0.6243035793304443
1683117779.6573482,836,1.1536756753921509
1683117792.572449,869,0.4286712110042572
1683117799.1072083,882,-0.5679591298103333
1683117809.76216,907,-0.6348947286605835
1683117809.8020537,909,-0.6875767111778259
1683117814.35724,917,0.08394058048725128
1683117824.993693,942,0.32356637716293335
1683117827.2714622,945,-0.09386191517114639
1683117829.615295,954,0.09073494374752045
1683117834.1428654,962,-0.12371823191642761
1683117838.4534428,971,0.12464988976716995
1683117838.4758942,972,0.2778833210468292
1683117840.7582304,978,1.2213990688323975
1683117840.7791755,979,1.1856435537338257
1683117843.1711133,984,1.6484785079956055
1683117851.9356887,1002,-0.8534075617790222
1683117854.0832694,1005,-1.8202184438705444
1683117856.328801,1014,0.9525415897369385
1683117878.8045933,1063,-0.2448914647102356
1683117881.0264082,1066,-0.6246246099472046
1683117883.189253,1072,0.1765296310186386
1683117885.4019935,1078,0.7991651892662048
1683117887.5971746,1083,0.5019616484642029
1683117892.058555,1093,-0.9687886238098145
1683117894.225207,1099,0.022777002304792404
1683117896.320278,1104,0.3341108560562134
1683117900.6624162,1114,-0.27345502376556396
1683117920.9490123,1156,-0.5423489809036255
1683117923.1800332,1160,0.35012972354888916
1683117923.2029712,1161,0.4675993025302887
1683117923.2229185,1162,0.5367327332496643
1683117932.2628512,1180,-0.4981926381587982
1683117936.6301494,1193,0.9008764028549194
1683117943.1941595,1206,-0.5166705846786499
1683117958.3344052,1244,0.024184059351682663
1683117965.002309,1258,0.3686971664428711
1683117967.092368,1261,0.43251723051071167
1683117975.7319117,1281,-1.018424391746521
1683117977.87448,1287,0.7706305384635925
1683117980.0453558,1294,0.41899573802948
1683117990.7466552,1316,-0.36537832021713257
1683117990.8074925,1319,-0.02710801735520363
1683117997.5621803,1330,1.5003458261489868
1683117997.6230178,1333,1.030677080154419
1683117999.6829147,1336,-0.6249346137046814
1683117999.7008662,1337,-0.7141422629356384
1683118019.9330964,1385,1.124812126159668
1683118021.8652139,1391,-1.536170482635498
1683118021.878179,1392,-1.5783203840255737
1683118029.7391393,1414,0.24138693511486053
1683118035.70073,1426,1.6165047883987427
