Wall time,Step,Value
1683144292.0715477,5,-0.06040000170469284
1683144296.5715637,18,1.0634000301361084
1683144299.0826962,24,1.0634000301361084
1683144306.2288682,40,1.0634000301361084
1683144307.1168761,42,1.0634000301361084
1683144308.4634,45,1.0634000301361084
1683144313.3504767,56,1.0634000301361084
1683144320.139812,71,1.0634000301361084
1683144321.479116,74,1.0634000301361084
1683144330.4306843,94,1.0634000301361084
1683144333.9991646,102,1.0634000301361084
1683144335.7761781,106,1.0634000301361084
1683144344.6970575,126,1.0634000301361084
1683144358.2472432,155,-0.056699998676776886
1683144359.8312566,158,-0.0568000003695488
1683144364.1152353,167,-0.0658000037074089
1683144369.975967,178,-0.05649999901652336
1683144372.648066,183,-0.056699998676776886
1683144373.744078,185,-0.05649999901652336
1683144376.0231361,190,-0.056699998676776886
1683144394.3743978,229,-0.05649999901652336
1683144396.7184162,234,-0.05649999901652336
1683144403.8133323,249,-0.05649999901652336
1683144406.6653106,255,-0.05649999901652336
1683144409.010883,260,-0.05649999901652336
1683144412.457682,267,-0.05649999901652336
1683144415.2169654,273,-0.05649999901652336
1683144424.320418,292,-0.0568000003695488
1683144431.814484,308,-0.05649999901652336
1683144432.7644916,310,-0.05649999901652336
1683144436.5140579,318,-0.05649999901652336
1683144442.175957,330,-0.05649999901652336
1683144446.5038145,339,-0.05649999901652336
1683144450.3198385,347,-0.05649999901652336
1683144458.0303268,363,-0.0763000026345253
1683144460.1261792,367,-0.05649999901652336
1683144482.827499,421,-0.052400000393390656
1683144483.1295016,422,-0.052400000393390656
1683144488.305364,439,-0.05249999836087227
1683144489.2173717,442,-0.05249999836087227
1683144490.134379,445,-0.05249999836087227
1683144494.7117875,460,-0.05249999836087227
1683144495.6137962,463,-0.05249999836087227
1683144495.9138088,464,-0.05249999836087227
1683144498.9078348,474,-0.05249999836087227
1683144504.7955363,491,-0.06849999725818634
1683144505.6035388,493,-0.06710000336170197
1683144513.972988,514,-0.06719999760389328
1683144520.765594,531,-0.06669999659061432
1683144522.8670769,536,-0.06759999692440033
1683144533.6641297,563,-0.06560000032186508
1683144537.5399163,573,-0.07609999924898148
1683144539.9484835,579,-0.06719999760389328
1683144546.7628033,586,-0.07429999858140945
1683144547.0919027,587,-0.07429999858140945
1683144551.4560392,602,-0.07419999688863754
1683144557.8243604,620,-0.06769999861717224
1683144558.6404283,622,-0.06769999861717224
1683144563.5466933,634,-0.06539999693632126
1683144566.490877,641,-0.06639999896287918
1683144566.9007354,642,-0.06729999929666519
1683144567.6459973,644,-0.07419999688863754
1683144568.738028,647,-0.06729999929666519
1683144569.5088525,649,-0.06830000132322311
1683144573.4900625,661,-0.07370000332593918
1683144576.7050288,671,-0.07370000332593918
1683144580.8304157,683,-0.07289999723434448
1683144582.5639124,688,-0.07280000299215317
1683144591.204391,714,-0.07159999758005142
1683144592.6023974,718,-0.07370000332593918
1683144594.0148268,722,-0.07159999758005142
1683144594.274382,723,-0.07509999722242355
1683144596.559996,730,-0.07150000333786011
1683144599.5853517,739,-0.07129999995231628
1683144600.9014628,743,-0.07199999690055847
1683144602.2647324,747,-0.07129999995231628
1683144603.9618528,752,-0.07129999995231628
1683144605.2967122,756,-0.0714000016450882
1683144608.216485,765,-0.07180000096559525
1683144609.5270324,769,-0.07199999690055847
1683144610.1700377,771,-0.07129999995231628
1683144610.814044,773,-0.0714000016450882
1683144613.102654,780,-0.07180000096559525
1683144614.7102911,785,-0.07190000265836716
1683144615.3328128,787,-0.07190000265836716
1683144616.9318273,792,-0.07190000265836716
1683144617.5788321,794,-0.07190000265836716
1683144618.8488822,798,-0.07190000265836716
1683144620.144893,802,-0.07190000265836716
1683144622.0429318,808,-0.07349999994039536
1683144622.3619344,809,-0.07199999690055847
1683144629.9510787,832,-0.07190000265836716
1683144631.305702,836,-0.07150000333786011
1683144642.0355866,869,-0.07190000265836716
1683144644.5764384,876,-0.07190000265836716
1683144646.5926142,882,-0.06360000371932983
1683144651.1284144,896,-0.07190000265836716
1683144652.4129143,900,-0.07190000265836716
1683144654.9945712,907,-0.06830000132322311
1683144655.6040258,909,-0.06289999932050705
1683144657.6509254,915,-0.05939999967813492
1683144658.341885,917,-0.05939999967813492
1683144663.2031112,931,-0.07209999859333038
1683144663.5131135,932,-0.07180000096559525
1683144666.8409233,942,-0.06289999932050705
1683144667.7470212,945,-0.05939999967813492
1683144670.8252854,954,-0.05939999967813492
1683144672.1800716,958,-0.05939999967813492
1683144673.4710834,962,-0.05939999967813492
1683144676.6602476,971,-0.05939999967813492
1683144676.943346,972,-0.07460000365972519
1683144678.9398918,978,-0.05939999967813492
1683144679.2728958,979,-0.05939999967813492
1683144680.8479097,984,-0.07209999859333038
1683144686.9183083,1002,-0.05939999967813492
1683144687.9263287,1005,-0.05950000137090683
1683144690.9669886,1014,-0.05939999967813492
1683144701.3194702,1044,-0.05939999967813492
1683144705.3897626,1057,-0.07259999960660934
1683144707.3043606,1063,-0.07190000265836716
1683144708.302426,1066,-0.07190000265836716
1683144708.9752676,1068,-0.05939999967813492
1683144710.3533187,1072,-0.05939999967813492
1683144712.487489,1078,-0.05939999967813492
1683144714.274519,1083,-0.05939999967813492
1683144717.5972083,1093,-0.05939999967813492
1683144719.3227413,1099,-0.05939999967813492
1683144721.041037,1104,-0.05939999967813492
1683144724.4769583,1114,-0.05939999967813492
1683144726.133962,1119,-0.07599999755620956
1683144739.2615857,1156,-0.05939999967813492
1683144740.6845987,1160,-0.05939999967813492
1683144741.035602,1161,-0.05939999967813492
1683144741.4136062,1162,-0.0706000030040741
1683144749.0837612,1180,-0.05939999967813492
1683144753.8048203,1192,-0.06830000132322311
1683144754.249577,1193,-0.06780000030994415
1683144756.7512114,1199,-0.06679999828338623
1683144759.4737985,1206,-0.06689999997615814
1683144770.397611,1232,-0.06650000065565109
1683144775.1999178,1244,-0.066600002348423
1683144779.569952,1255,-0.0674000009894371
1683144780.7610562,1258,-0.0674000009894371
1683144781.9900663,1261,-0.06790000200271606
1683144790.3384416,1281,-0.06880000233650208
1683144792.6003332,1287,-0.053700000047683716
1683144795.367494,1294,-0.053700000047683716
1683144797.71858,1300,-0.07280000299215317
1683144804.4030528,1316,-0.053700000047683716
1683144805.5570872,1319,-0.053700000047683716
1683144809.9493175,1330,1.0621000528335571
1683144811.343477,1333,-0.05380000174045563
1683144812.494296,1336,-0.053700000047683716
1683144812.9350495,1337,-0.053700000047683716
1683144833.2799473,1385,-0.053700000047683716
