Wall time,Step,Value
1683117464.4095175,18,2108.8916015625
1683117473.6345618,42,2024.7177734375
1683117475.4150748,45,1994.90576171875
1683117479.0674226,56,1934.556884765625
1683117484.7800386,71,1772.2855224609375
1683117484.8209324,74,1750.9739990234375
1683117492.1372154,94,1717.2440185546875
1683117515.9838753,155,893.3578491210938
1683117516.0462182,158,843.7359008789062
1683117519.6235547,167,837.60302734375
1683117525.1072686,183,356.267822265625
1683117541.715089,229,57.594337463378906
1683117543.5769024,234,65.09716033935547
1683117552.5728338,255,65.9497299194336
1683117554.3727758,260,69.85186767578125
1683117556.2681966,267,55.48939895629883
1683117558.0545907,273,56.58135986328125
1683117570.8157418,308,52.47423553466797
1683117572.7402034,310,54.97626495361328
1683117574.515428,318,54.137027740478516
1683117581.8142972,339,52.39175796508789
1683117585.3437965,347,60.25450897216797
1683117592.5611012,367,57.44737243652344
1683117612.7373872,421,48.978816986083984
1683117612.7513506,422,48.93408966064453
1683117619.9964328,442,45.76341247558594
1683117621.8203914,445,49.62445068359375
1683117627.194506,460,51.841548919677734
1683117627.2344024,463,51.812774658203125
1683117627.2503588,464,51.507232666015625
1683117630.9887214,474,53.95011520385742
1683117638.3454883,493,48.28761672973633
1683117645.4873164,514,49.53736877441406
1683117654.3964272,536,50.08115005493164
1683117663.631239,563,66.98746490478516
1683117669.0272794,579,51.2249641418457
1683117672.5381052,586,50.85483932495117
1683117672.551072,587,50.89344024658203
1683117685.0612304,620,51.60940933227539
1683117688.724405,634,53.24018859863281
1683117692.4745884,641,64.90666961669922
1683117692.4935358,642,64.91825103759766
1683117692.5244539,644,63.97649383544922
1683117694.2587192,647,52.15289306640625
1683117694.2846491,649,51.65689468383789
1683117699.545797,661,50.87778091430664
1683117706.107258,671,51.198360443115234
1683117724.1922345,714,46.01103973388672
1683117728.4891648,722,51.26495361328125
1683117732.7584858,730,50.13170623779297
1683117741.6663635,752,48.067317962646484
1683117743.9085078,756,52.09638977050781
1683117748.0297513,765,48.646240234375
1683117748.1045513,769,46.60144805908203
1683117751.339255,771,51.32723617553711
1683117757.965047,785,52.53307342529297
1683117757.9999518,787,52.89518737792969
1683117760.3018036,792,48.30513000488281
1683117760.3421662,794,48.00035095214844
1683117762.4633977,798,53.51539611816406
1683117764.62688,802,53.48291015625
1683117766.8434606,808,51.61014175415039
1683117766.863915,809,51.39848709106445
1683117777.5147357,832,48.05125427246094
1683117779.659344,836,51.51384353637695
1683117792.5744443,869,47.74724197387695
1683117799.1102002,882,45.441673278808594
1683117809.7641551,907,47.655853271484375
1683117809.8050454,909,46.9210090637207
1683117814.360232,917,58.749794006347656
1683117824.995688,942,51.896541595458984
1683117827.2744544,945,52.930850982666016
1683117829.617291,954,45.88255310058594
1683117834.1458573,962,45.37278747558594
1683117838.4564347,971,55.153995513916016
1683117838.478886,972,55.346839904785156
1683117840.7602265,978,58.33792495727539
